name,rating,total_rating,lat,lng,price
Hotel Sahara Star,4.5,32651,19.0957428,72.8538296,11500
The Taj Mahal Palace,4.7,24557,18.9217291,72.8330309,20402
"Taj Lands End, Mumbai",4.6,22812,19.0435385,72.8194558,14520
Trident,4.5,14586,19.0665942,72.8675032,10500
JW Marriott Mumbai Juhu,4.5,19956,19.1020372,72.8261813,12985
Grand Hyatt Mumbai Hotel & Residences,4.5,19946,19.0774159,72.8511824,11500
JW Marriott Mumbai Sahar,4.6,18090,19.102502,72.8782358,11898
The Lalit Mumbai,4.4,18173,19.1053238,72.8758792,10400
Renaissance Mumbai Convention Centre Hotel,4.5,16690,19.1343886,72.9014961,10000
Sofitel Mumbai BKC,4.6,15253,19.0674478,72.8690057,10503
The St. Regis Mumbai,4.6,10201,18.9945952,72.8247247,14600
Four Seasons Hotel Mumbai,4.5,8903,18.9942981,72.8203148,16500
InterContinental,4.4,7562,18.9350617,72.8244047,14500
"The Oberoi, Mumbai",4.6,7520,18.926975,72.8204516,20100
"Trident Hotel, Nariman Point Mumbai",4.6,20201,18.9277306,72.8211985,12900
