name,rating,total_rating,lat,lng
Bandstand Promenade,3.5,573,19.0505162,72.8213859
Bandra Fort,4.4,20193,19.0418892,72.8183594
Bandra Worli Sea Link,4.7,7557,19.0361111,72.8171625
Chhatrapati Shivaji Maharaj Terminus,4.5,11149,18.9398446,72.8354475
Chotha Kashmir Boat Club,3.7,7728,19.160853,72.8723698
Colaba Causeway,4,516,18.9145814,72.8244085
Dharavi,4,1107,19.0380334,72.8537589
"Dhobi Ghat, Mumbai",4.1,1457,18.9822455,72.8255146
Dr. Bhau Daji Lad Museum,4.3,4301,18.9789889,72.8348153
Elephanta Caves,4.2,22810,18.9633474,72.9314864
Fashion Street,3.9,28543,18.9389419,72.8301069
Dadasaheb Phalke Chitranagari,4,1370,19.1607917,72.8876055
Flora Fountain,4.4,14333,18.9324394,72.8314845
Gandhi Smarak,4.3,12,18.9575607,72.8113902
Gateway Of India Mumbai,4.6,228182,18.9219841,72.8346543
Gilbert hill,4.3,144,19.1205717,72.8401933
Global Vipassana Pagoda,4.6,10418,19.228499,72.8059425
Haji Ali Dargah,4.4,9875,18.982747,72.8089648
Hanging Gardens Mumbai,4.2,25188,18.9568662,72.8049626
"Holy Cross Church, Kurla",4.6,830,19.0835307,72.8871228
ISKCON,4.6,22675,19.113016,72.826576
Jehangir Art Gallery,4.5,6181,18.9273983,72.8316856
Jogeshwari Caves,4.3,1137,19.1389215,72.858149
Juhu Chowpatty,4.1,59781,19.0970134,72.8266203
Kanheri Caves,4.5,4107,19.2058509,72.9068504
KidZania Mumbai,4.4,8246,19.099795,72.916822
Madh Fort,4,1249,19.1322719,72.7947674
Mahakali Caves,3.9,3941,19.1300798,72.8731738
Maharashtra Nature Park,4.2,3246,19.0522583,72.8627641
Marine Drive,4.6,1474,18.9432135,72.8229996
Basilica Of Our Lady of The Mount,4.7,9352,19.0465581,72.8224747
Nariman Point,4.5,2387,18.9255728,72.8242221
National Gallery of Modern Art,4.4,1476,18.9259588,72.831385
Nehru Science Centre,4.3,12027,18.9907908,72.8188735
"Phoenix Marketcity, Mumbai",4.5,93187,19.08639,72.8889668
Chhatrapati Shivaji Maharaj Vastu Sangrahalaya,4.5,25529,18.9269015,72.8326916
Red Carpet Wax Museam,3.5,6,18.9361714,72.8383499
Sai Dham Mandir,4.5,4363,19.2119576,72.8680408
Sanjay Gandhi National Park Main Entrance,4.3,205,19.2314846,72.8638682
Jama Masjid Building,3.7,43,18.948972,72.8342347
Shree Mahalakshmi Temple,4.7,22051,18.9775342,72.8064465
Shri Siddhi Vinayak Ganpati Mandir,4.8,48808,19.0168159,72.8302491
Sion Fort,4.1,2600,19.0465923,72.8676819
Snow World Mumbai,4.1,7380,19.0866311,72.8885629
Taraporevala Aquarium,3.6,20879,18.9492588,72.8200302
"Dedh galli, shoe market",3.6,1426,18.9634416,72.8257604
Vaishnodevi Temple,4.6,2095,19.1867668,72.8529523
Veer Mata Jijabai Bhosale Udyan And Zoo,3.5,14846,18.97871,72.8351211
Worli Fort,4.1,2579,19.0237125,72.8168
Worli Sea Face,4.2,322,19.0091432,72.8157283
